date,code,name,sector,trigger,tag,score,score_reason,zone_hi,zone_lo,stop,risk_shallow,risk_deep,risk_pct_shallow,risk_pct_deep,atr,unit_cost,close_at_listing,expire_date,time_stop,zone_width_atr,zone_floored,tailwind,headwind,hivol,gap_date,earnings_est_days,adv20_jpy
2026-07-28,5830,いよぎんホールディングス,銀行業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高2.3倍+1 / 当日ギャップ+1 / トレンド整合+1 / 高値引け(99%)+2 / 順風セクター+1,3790.0,3710.0,3555.0,235.0,155.0,6.20,4.18,120.47,378500,3785.0,07/31,20,0.66,0,1,0,0,2026-07-27,55,2963321065
2026-07-28,8541,愛媛銀行,銀行業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高11.9倍+2 / トレンド整合+1 / 高値引け(96%)+2 / 順風セクター+1,2810.0,2707.0,2519.0,291.0,188.0,10.36,6.94,106.93,291700,2917.0,07/31,20,0.96,0,1,0,0,2026-07-24,60,672449785
2026-07-28,3132,マクニカホールディングス,卸売業,材料反応,1ヶ月,8,材料反応+4(日本でもPEAD確認) / 出来高6.1倍+2 / 当日ギャップ+1 / トレンド整合+1,3690.0,3565.0,3330.0,360.0,235.0,9.76,6.59,155.27,357900,3579.0,07/31,20,0.81,0,0,0,0,2026-07-27,60,1961196945
2026-07-28,4665,ダスキン,サービス業,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(94%)+2 / 浅い押し(0.66ATR)+2,4470.0,4435.0,4365.0,105.0,70.0,2.35,1.58,77.49,453200,4532.0,07/31,10,0.45,0,0,0,0,,11,396747755
2026-07-28,6804,ホシデン,電気機器,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(100%)+2 / 浅い押し(0.57ATR)+2,2777.0,2734.0,2651.0,126.0,83.0,4.54,3.04,71.31,284000,2840.0,07/31,10,0.60,0,0,0,0,,6,558251255
2026-07-29,3549,クスリのアオキホールディングス,小売業,材料反応,1ヶ月,9,材料反応+4(日本でもPEAD確認) / 出来高2.1倍+1 / 当日ギャップ+1 / 高値引け(96%)+2 / 順風セクター+1,3960.0,3900.0,3775.0,185.0,125.0,4.67,3.21,125.88,395500,3955.0,08/03,20,0.48,0,1,0,0,2026-07-28,11,954437965
2026-07-29,2659,サンエー,小売業,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(93%)+2 / 押し1.62ATR+1 / 順風セクター+1,3190.0,3160.0,3100.0,90.0,60.0,2.82,1.90,70.65,326500,3265.0,08/03,10,0.42,0,1,0,0,,47,651467775
2026-07-29,2801,キッコーマン,食料品,押し目,2週間,8,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(88%)+1 / 浅い押し(0.69ATR)+2 / 順風セクター+1,1644.0,1618.0,1566.0,78.0,52.0,4.74,3.21,44.94,167200,1672.0,08/03,10,0.58,0,1,0,0,,6,5560053515
2026-07-29,3778,さくらインターネット,情報・通信業,材料反応,1ヶ月,8,材料反応+4(日本でもPEAD確認) / 出来高7.9倍+2 / 当日ギャップ+1 / 高値引け(71%)+1,3215.0,3065.0,2791.0,424.0,274.0,13.19,8.94,150.98,310000,3100.0,08/03,20,0.99,0,0,0,0,2026-07-28,60,2250309415
2026-07-29,2222,寿スピリッツ,食料品,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(79%)+1 / 押し1.52ATR+1 / 順風セクター+1,2522.0,2457.0,2338.0,184.0,119.0,7.30,4.84,73.01,255400,2554.0,08/03,10,0.89,0,1,0,0,,49,1425573640
