code,name,date,reason
8686,アフラック・インコーポレーテッド,2019-10-03,申請による上場廃止
9674,花月園観光,2019-11-01,時価総額が所要額未満
1865,青木あすなろ建設,2019-11-07,株式等売渡請求による取得
4239,ポラテクノ,2019-11-08,株式等売渡請求による取得
8205,シャクリー・グローバル・グループ,2019-12-23,株式の併合
1722,ミサワホーム,2019-12-30,トヨタホーム（非上場）の完全子会社化
9836,リーバイ・ストラウス　ジャパン,2020-01-07,株式等売渡請求による取得
3545,デファクトスタンダード,2020-01-09,BEENOSの完全子会社化
3822,Ｍｉｎｏｒｉソリューションズ,2020-01-21,株式等売渡請求による取得
7834,マジェスティ ゴルフ,2020-01-23,株式の併合
1983,東芝プラントシステム,2020-01-27,株式等売渡請求による取得
9943,ココスジャパン,2020-02-18,日本レストランホールディングス（非上場）の完全子会社化
2655,マックスバリュ東北,2020-02-27,イオンの完全子会社化
3711,創通,2020-02-27,株式の併合
4508,田辺三菱製薬,2020-02-27,株式等売渡請求による取得
6591,西芝電機,2020-02-27,株式等売渡請求による取得
7465,マックスバリュ北海道,2020-02-27,イオン北海道に合併
2405,ＦＵＪＩＫＯＨ,2020-03-09,株式の併合
4585,ＵＭＮファーマ,2020-03-16,株式の併合
3209,カネヨウ,2020-03-17,株式の併合
8251,パルコ,2020-03-18,株式等売渡請求による取得
4695,マイスターエンジニアリング,2020-03-26,株式の併合
1906,細田工務店,2020-03-27,株式の併合
6112,小島鉄工所,2020-03-29,時価総額が所要額未満
3250,エー・ディー・ワークス,2020-03-30,ＡＤワークスグループの完全子会社化
6256,ニューフレアテクノロジー,2020-03-30,株式の併合
7591,エクセル,2020-03-30,シティインデックスイレブンス（非上場）の完全子会社化
9826,ＪＥＵＧＩＡ,2020-04-15,株式等売渡請求による取得
9277,総合メディカルホールディングス,2020-04-17,株式等売渡請求による取得
7404,昭和飛行機工業,2020-04-20,株式等売渡請求による取得
8036,日立ハイテク,2020-05-18,株式等売渡請求による取得
6274,ヤマハモーターロボティクスホールディングス,2020-05-25,株式等売渡請求による取得
2417,ツヴァイ,2020-06-01,株式等売渡請求による取得
3756,豆蔵ホールディングス,2020-06-02,株式の併合
6889,オーデリック,2020-06-05,株式の併合
3606,レナウン,2020-06-16,公益・投資者保護（民事再生手続き開始の決定）
3258,ユニゾホールディングス,2020-06-18,株式の併合
8044,大都魚類,2020-06-18,株式等売渡請求による取得
4217,日立化成,2020-06-19,株式の併合
8885,ラ・アトレ,2020-06-29,ＬＡホールディングスの完全子会社化
7891,日本ユピカ,2020-07-10,株式の併合
3424,ミヤコ,2020-07-28,株式の併合
8692,だいこう証券ビジネス,2020-07-29,株式等売渡請求による取得
7873,アーク,2020-07-30,三井化学の完全子会社化
6065,ライクキッズ,2020-08-26,株式等売渡請求による取得
3171,マックスバリュ九州,2020-08-28,イオン九州に合併
8729,ソニーフィナンシャルホールディングス,2020-08-31,株式等売渡請求による取得
2608,ボーソー油脂,2020-09-25,株式の併合
7323,アイペット損害保険,2020-09-29,アイペットホールディングスの完全子会社化
8379,広島銀行,2020-09-29,ひろぎんホールディングスの完全子会社化
8709,インヴァスト証券,2020-09-29,インヴァストの完全子会社化
7612,Ｎｕｔｓ,2020-10-03,公益・投資者保護（破産手続き開始の決定）
3564,ＬＩＸＩＬビバ,2020-10-20,株式の併合
7703,川澄化学工業,2020-10-28,株式等売渡請求による取得
9792,ニチイ学館,2020-11-05,株式の併合
7230,日信工業,2020-11-11,株式等売渡請求による取得
7251,ケーヒン,2020-11-11,株式等売渡請求による取得
7274,ショーワ,2020-11-11,株式等売渡請求による取得
8028,ファミリーマート,2020-11-12,株式の併合
8589,アプラスフィナンシャル,2020-11-27,株式等売渡請求による取得
6945,富士通フロンテック,2020-12-24,株式の併合
9437,NTTドコモ,2020-12-25,株式等売渡請求による取得
3938,ＬＩＮＥ,2020-12-29,株式の併合
3194,キリン堂ホールディングス,2021-01-06,株式の併合
4557,医学生物学研究所,2021-01-13,株式等売渡請求による取得
4779,ソフトブレーン,2021-01-19,株式の併合
6722,エイアンドティー,2021-01-28,トクヤマの完全子会社化
2714,プラマテルズ,2021-02-12,株式等売渡請求による取得
5614,川金ホールディングス,2021-02-17,株式の併合
4321,ケネディクス,2021-03-17,株式の併合
4640,アンドール,2021-03-22,株式等売渡請求による取得
6852,テクノ・セブン,2021-03-22,株式等売渡請求による取得
6944,アイレックス,2021-03-22,株式等売渡請求による取得
9671,よみうりランド,2021-03-23,株式の併合
8184,島忠,2021-03-24,株式の併合
8257,山陽百貨店,2021-03-25,株式等売渡請求による取得
2362,夢真ホールディングス,2021-03-30,夢真ビーネックスグループに合併
3344,ワンダーコーポレーション,2021-03-30,REXTの完全子会社化
4514,あすか製薬,2021-03-30,あすか製薬ホールディングスの完全子会社化
4555,沢井製薬,2021-03-30,サワイグループホールディングスの完全子会社化
5912,ＯＳＪＢホールディングス,2021-03-30,オリエンタル白石に合併
6064,アクトコール,2021-03-30,シック・ホールディングスの完全子会社化
6187,ＬＩＴＡＬＩＣＯ,2021-03-30,LITALICOメディア＆ソリューションズの完全子会社化
7321,関西みらいフィナンシャルグループ,2021-03-30,りそなホールディングスの完全子会社化
7448,ジーンズメイト,2021-03-30,REXTの完全子会社化
7577,ＨＡＰｉＮＳ,2021-03-30,REXTの完全子会社化
7768,ジェコー,2021-03-30,デンソーの完全子会社化
8586,日立キャピタル,2021-03-30,三菱ＵＦＪリースに合併
9681,東京ドーム,2021-04-23,株式の併合
7869,日本フォームサービス,2021-04-26,株式の併合
9758,ジャパンシステム,2021-04-26,株式の併合
1782,常磐開発,2021-05-24,株式の併合
2675,ダイナックホールディングス,2021-05-28,株式等売渡請求による取得
9829,ながの東急百貨店,2021-05-28,東急の完全子会社化
4734,ビーイング,2021-06-07,株式の併合
9707,ユニマット　リタイアメント・コミュニティ,2021-06-10,株式の併合
2398,ツクイホールディングス,2021-06-17,株式の併合
6077,Ｎ・フィールド,2021-06-18,株式の併合
4696,ワタベウェディング,2021-06-28,株式の併合・破産手続、再生手続又は更生手続に準ずる状態（債務免除）
3630,電算システム,2021-06-29,電算システムホールディングスの完全子会社化
6531,リファインバース,2021-06-29,リファインバースグループの完全子会社化
7190,マーキュリアインベストメント,2021-06-29,マーキュリアホールディングスの完全子会社化
3689,イグニス,2021-06-30,株式の併合
9797,大日本コンサルタント,2021-07-12,DNホールディングスの完全子会社化
3125,新内外綿,2021-07-20,シキボウの完全子会社化
8090,昭光通商,2021-07-21,株式の併合
7519,五洋インテックス,2021-07-26,内部管理体制等の改善がなされず改善の見込みがなくなったと当取引所が認める場合
1728,ミサワホーム中国,2021-07-28,株式等売渡請求による取得
4517,ビオフェルミン製薬,2021-07-28,大正製薬ホールディングスの完全子会社化
4669,ニッパンレンタル,2021-07-28,株式の併合
4952,エス・ディー・エス　バイオテック,2021-07-29,出光興産の完全子会社化
6414,川重冷熱工業,2021-07-29,川崎重工業の完全子会社化
6709,明星電気,2021-07-29,ＩＨＩの完全子会社化
8298,ファミリー,2021-07-29,株式等売渡請求による取得
6628,オンキヨーホームエンターテイメント,2021-08-01,債務超過
6839,船井電機,2021-08-26,株式の併合
3515,フジコー,2021-08-30,日本毛織の完全子会社化
8186,大塚家具,2021-08-30,ヤマダホールディングスの完全子会社化
7587,ＰＡＬＴＥＫ,2021-08-31,株式の併合
4115,本州化学工業,2021-09-14,株式の併合
7959,オリバー,2021-09-14,株式等売渡請求による取得
4282,ＥＰＳホールディングス,2021-09-17,株式の併合
3751,日本アジアグループ,2021-09-27,株式の併合
3975,ＡＯＩ　ＴＹＯ　Ｈｏｌｄｉｎｇｓ,2021-09-28,株式の併合
1824,前田建設工業,2021-09-29,インフロニア・ホールディングスの完全子会社化
1883,前田道路,2021-09-29,インフロニア・ホールディングスの完全子会社化
2151,タケエイ,2021-09-29,TREホールディングスの完全子会社化
3098,ココカラファイン,2021-09-29,マツキヨココカラ＆カンパニーの完全子会社化
4364,マナック,2021-09-29,マナック・ケミカル・パートナーズの完全子会社化
4399,くふうカンパニー （2021年9月30日付で（株）くふう中間持株会社に商号変更予定）,2021-09-29,くふうカンパニーの完全子会社化
4497,ロコガイド,2021-09-29,くふうカンパニーの完全子会社化
5690,リバーホールディングス,2021-09-29,TREホールディングスの完全子会社化
6281,前田製作所,2021-09-29,インフロニア・ホールディングスの完全子会社化
7594,マルカ,2021-09-29,フルサト・マルカホールディングスの完全子会社化
7688,ミアヘルサ,2021-09-29,ミアヘルサホールディングスの完全子会社化
8087,フルサト工業,2021-09-29,フルサト・マルカホールディングスの完全子会社化
8108,ヤマエ久野,2021-09-29,ヤマエグループホールディングスの完全子会社化
8356,十六銀行,2021-09-29,十六フィナンシャルグループの完全子会社化
8363,北國銀行,2021-09-29,北國フィナンシャルホールディングスの完全子会社化
8397,沖縄銀行,2021-09-29,おきなわフィナンシャルグループの完全子会社化
9266,一家ダイニングプロジェクト,2021-09-29,一家ホールディングスの完全子会社化
9624,長大,2021-09-29,人・夢・技術グループの完全子会社化
4342,セコム上信越,2021-10-28,セコムの完全子会社化
6299,神鋼環境ソリューション,2021-10-28,神戸製鋼所の完全子会社化
2174,ＧＣＡ,2021-11-02,株式等売渡請求による取得
9909,愛光電気,2021-12-03,株式の併合
3408,サカイオーベックス,2021-12-10,株式の併合
9062,日本通運,2021-12-29,NIPPON EXPRESSホールディングスの完全子会社化
9966,藤久,2021-12-29,藤久ホールディングスの完全子会社化
7855,カーディナル,2022-01-13,株式の併合
3376,オンリー,2022-01-18,株式の併合
3658,イーブックイニシアティブジャパン,2022-02-02,株式の併合
6575,ヒューマン・アソシエイツ・ホールディングス,2022-02-08,株式等売渡請求による取得
6271,ニッセイ,2022-02-14,株式等売渡請求による取得
8740,フジトミ証券,2022-02-17,小林洋行の完全子会社化
