ticker,code,name,sector,rs_rating,stage_w,pct_from_high
5331.T,5331,ノリタケ,ガラス・土石製品,78.9,2,-0.1498
5702.T,5702,大紀アルミニウム工業所,非鉄金属,81.5,2,-0.1098
5830.T,5830,いよぎんホールディングス,銀行業,84.4,2,-0.0262
5831.T,5831,しずおかフィナンシャルグループ,銀行業,82.5,2,-0.0332
5844.T,5844,京都フィナンシャルグループ,銀行業,72.8,2,-0.0315
5985.T,5985,サンコール,金属製品,97.9,2,-0.2325
6058.T,6058,ベクトル,サービス業,82.7,2,-0.0954
6098.T,6098,リクルートホールディングス,サービス業,97.6,2,0.0
6134.T,6134,ＦＵＪＩ,機械,97.5,2,-0.0975
6136.T,6136,オーエスジー,機械,87.1,2,-0.0512
6178.T,6178,日本郵政,サービス業,80.3,2,-0.0742
6237.T,6237,イワキポンプ,機械,95.1,2,-0.1899
6250.T,6250,やまびこ,機械,83.3,2,0.0
6258.T,6258,平田機工,機械,84.1,2,0.0
6284.T,6284,日精エー・エス・ビー機械,機械,70.9,2,-0.088
6302.T,6302,住友重機械工業,機械,73.1,2,-0.0557
6364.T,6364,ＡＩＲＭＡＮ,機械,74.4,2,-0.0852
6376.T,6376,日機装,精密機器,98.1,2,-0.0733
6448.T,6448,ブラザー工業,電気機器,88.2,2,0.0
6490.T,6490,ＰＩＬＬＡＲ,機械,91.6,2,-0.1124
6504.T,6504,富士電機,電気機器,70.7,2,-0.1531
6508.T,6508,明電舎,電気機器,86.7,2,-0.0409
6627.T,6627,テラプローブ,電気機器,95.8,2,-0.1999
6645.T,6645,オムロン,電気機器,84.3,2,0.0
6652.T,6652,ＩＤＥＣ,電気機器,76.4,2,0.0
6668.T,6668,アドテック　プラズマ　テクノロジー,電気機器,97.1,2,-0.1956
6724.T,6724,セイコーエプソン,電気機器,88.4,2,0.0
6737.T,6737,ＥＩＺＯ,電気機器,73.5,2,-0.0416
6741.T,6741,日本信号,電気機器,75.5,2,-0.0037
6745.T,6745,ホーチキ,電気機器,80.4,2,-0.1146
6752.T,6752,パナソニック　ホールディングス,電気機器,97.4,2,-0.07
6875.T,6875,メガチップス,電気機器,76.1,2,-0.1335
6890.T,6890,フェローテック,電気機器,88.6,2,-0.22
6951.T,6951,日本電子,電気機器,85.2,2,-0.0368
6952.T,6952,カシオ計算機,電気機器,91.1,2,-0.016
6958.T,6958,日本シイエムケイ,電気機器,85.0,2,-0.0829
6960.T,6960,フクダ電子,電気機器,83.8,2,-0.033
6971.T,6971,京セラ,電気機器,92.2,2,-0.024
7128.T,7128,フルサト・マルカホールディングス,卸売業,72.7,2,-0.0277
