棄却日,コード,銘柄名,ゲート,理由,棄却時終値,N営業日後リターン%,事後正誤タグ
2026-07-13,1812,鹿島建設,R床,値幅余地不足(余地+3.2%<2R=11.5%),5657.0,,
2026-07-13,1860,戸田建設,エンジンA,押し目日数10日(適合2〜5),1528.5,,
2026-07-13,1942,関電工,R床,値幅余地不足(余地+3.2%<2R=10.8%),6288.0,,
2026-07-13,1952,新日本空調,R床,値幅余地不足(余地+2.6%<2R=11.7%),3500.0,,
2026-07-13,1959,クラフティア,エンジンA,押し目日数10日(適合2〜5),8666.0,,
2026-07-13,1961,三機工業,エンジンA,押し目日数10日(適合2〜5),2601.0,,
2026-07-13,1969,高砂熱学工業,R床,値幅余地不足(余地+3.6%<2R=11.7%),4728.0,,
2026-07-13,2269,明治ホールディングス,R床,値幅余地不足(余地-0.5%<2R=6.8%),3766.0,,
2026-07-13,2334,イオレ,Feasibility,高ボラ×VI>30×SOX反発無し,553.0,,
2026-07-13,2579,コカ・コーラ　ボトラーズジャパンホールディングス,R床,値幅余地不足(余地-1.0%<2R=10.8%),4126.0,,
2026-07-13,2670,エービーシー・マート,R床,値幅余地不足(余地+4.3%<2R=11.1%),2641.5,,
2026-07-13,285A,キオクシアホールディングス,エンジンA,押し目日数9日(適合2〜5),73100.0,,
2026-07-13,2962,テクニスコ,エンジンA,押し目日数9日(適合2〜5),1334.0,,
2026-07-13,3046,ジンズホールディングス,Feasibility,高ボラ×VI>30×SOX反発無し,6240.0,,
2026-07-13,3186,ネクステージ,Feasibility,高ボラ×VI>30×SOX反発無し,3430.0,,
2026-07-13,3289,東急不動産ホールディングス,R床,値幅余地不足(余地+0.8%<2R=6.8%),1296.0,,
2026-07-13,3444,菊池製作所,Feasibility,高ボラ×VI>30×SOX反発無し,990.0,,
2026-07-13,3656,ＫＬａｂ,Feasibility,高ボラ×VI>30×SOX反発無し,209.0,,
2026-07-13,3853,アステリア,Feasibility,高ボラ×VI>30×SOX反発無し,1140.0,,
2026-07-13,4047,関東電化工業,エンジンA,押し目日数10日(適合2〜5),3025.0,,
2026-07-13,4506,住友ファーマ,エンジンA,押し目日数6日(適合2〜5),1389.0,,
2026-07-13,4681,リゾートトラスト,R床,値幅余地不足(余地+0.8%<2R=6.9%),1720.0,,
2026-07-13,5631,日本製鋼所,Feasibility,高ボラ×VI>30×SOX反発無し,7759.0,,
2026-07-13,5711,三菱マテリアル,Feasibility,高ボラ×VI>30×SOX反発無し,4099.0,,
2026-07-13,6085,アーキテクツ・スタジオ・ジャパン,エンジンA,押し目日数10日(適合2〜5),218.0,,
2026-07-13,6166,中村超硬,エンジンA,押し目日数6日(適合2〜5),744.0,,
2026-07-13,6268,ナブテスコ,Feasibility,高ボラ×VI>30×SOX反発無し,5271.0,,
2026-07-13,6324,ハーモニック・ドライブ・システムズ,Feasibility,高ボラ×VI>30×SOX反発無し,7580.0,,
2026-07-13,6330,東洋エンジニアリング,Feasibility,高ボラ×VI>30×SOX反発無し,1956.0,,
2026-07-13,6331,三菱化工機,Feasibility,高ボラ×VI>30×SOX反発無し,3505.0,,
2026-07-13,6492,岡野バルブ製造,エンジンA,押し目日数6日(適合2〜5),17100.0,,
2026-07-13,6506,安川電機,エンジンA,押し目日数6日(適合2〜5),5972.0,,
2026-07-13,6507,シンフォニアテクノロジー,Feasibility,高ボラ×VI>30×SOX反発無し,14810.0,,
2026-07-13,6779,日本電波工業,エンジンA,押し目日数8日(適合2〜5),3290.0,,
2026-07-13,6838,多摩川ホールディングス,エンジンA,押し目日数10日(適合2〜5),1505.0,,
2026-07-13,6946,日本アビオニクス,Feasibility,高ボラ×VI>30×SOX反発無し,4935.0,,
2026-07-13,6976,太陽誘電,エンジンA,押し目日数8日(適合2〜5),13665.0,,
2026-07-13,6996,ニチコン,エンジンA,押し目日数8日(適合2〜5),3390.0,,
2026-07-13,6997,日本ケミコン,エンジンA,押し目日数8日(適合2〜5),3915.0,,
2026-07-13,7245,大同メタル工業,エンジンA,押し目日数7日(適合2〜5),1357.0,,
2026-07-13,7966,リンテック,エンジンA,押し目日数6日(適合2〜5),6550.0,,
2026-07-13,8012,長瀬産業,R床,値幅余地不足(余地+2.1%<2R=8.8%),1153.0,,
2026-07-13,8194,ライフコーポレーション,エンジンA,押し目日数10日(適合2〜5),2420.0,,
2026-07-13,9956,バローホールディングス,エンジンA,押し目日数10日(適合2〜5),3275.0,,
