date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_2-a,part_2-b,part_2-c,part_2-d,part_4-b
2026-08-18,1934,ユアテック,建設業,33.25,0.2,除外,0.0,0.3344,0.3262,,0.6694,0.0,0.4475,0.3238,0.5333,0.2273,0.0526,0.2,0.9152,0.136,0.6264,1.0,"1,2,3,4",,,,,,,,,0.3606,0.2353,0.7419,0.0,
2026-08-18,1938,日本リーテック,建設業,39.08,0.0,除外,0.3551,0.4683,0.3054,,0.4344,0.0,0.5548,0.0,0.6667,0.2273,0.675,0.2,1.0,0.1357,0.6019,0.0,"1,2,3,4,5",0.0,1.0,0.5,0.0,0.8412,0.0,0.5,0.0,0.6312,0.5,0.7419,0.0,
2026-08-18,1939,四電工,建設業,63.2,0.6,監視,0.9902,0.7303,0.4741,0.2963,0.669,0.2442,0.409,0.643,0.6,0.2273,0.4737,0.2,1.0,0.4768,0.3967,0.8023,"3,4",1.0,1.0,1.0,1.0,1.0,0.9212,1.0,1.0,0.7009,0.6324,0.7419,0.846,0.2842
2026-08-18,1941,中電工,建設業,63.42,0.4,除外,0.7918,0.6628,0.5882,,0.494,0.6895,0.5602,0.6364,0.4667,1.0,,0.2,0.612,0.3889,0.9752,0.0,"3,4,5",1.0,1.0,1.0,0.0,1.0,0.5423,1.0,,0.7129,0.6471,0.7419,0.5495,0.0
2026-08-18,1942,関電工,建設業,37.98,0.2,除外,0.375,0.6185,0.2156,,0.3103,0.0,0.0168,0.5788,0.2667,0.6818,0.4737,0.5,0.5293,0.3134,0.3983,0.0,"1,3,4,5",0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.8351,0.8971,0.7419,0.0,
2026-08-18,1944,きんでん,建設業,49.32,0.2,除外,0.4001,0.6626,0.393,,0.517,0.0901,0.5768,0.5716,0.3333,0.2273,0.3684,0.2,0.7274,0.1474,0.6439,0.5492,"1,3,4,5",0.0,1.0,0.5,0.0,1.0,0.2009,0.5,0.0,0.8051,0.8382,0.7419,0.2652,
2026-08-18,1945,東京エネシス,建設業,58.43,0.4,除外,0.6738,0.5491,0.5996,0.3872,0.7119,0.9468,0.1605,0.6912,0.6,0.8182,0.1579,0.5,0.8155,0.2551,0.777,1.0,"2,3,4",1.0,1.0,1.0,0.0,0.9209,0.0692,1.0,0.4,0.7339,0.7206,0.7419,0.0,0.0727
2026-08-18,1946,トーエネック,建設業,51.54,0.2,除外,0.5982,0.59,0.3649,0.249,0.7747,0.1021,0.1106,0.6468,0.6,0.6364,0.1053,0.2,0.9439,0.4529,0.8852,0.8168,"1,2,3,4",1.0,1.0,0.5,0.0,1.0,0.3855,0.5,0.4,0.7946,0.8235,0.7419,0.0,0.0545
2026-08-18,1950,日本電設工業,建設業,51.24,0.2,除外,0.375,0.5556,0.4402,,0.679,0.1531,0.3473,0.7271,0.5333,0.2273,0.975,0.5,0.8698,0.1472,0.6988,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.7451,0.7353,0.7419,0.0,
2026-08-18,1951,エクシオグループ,建設業,42.17,0.0,除外,0.4897,0.4857,0.2506,,0.4609,0.2827,0.3585,0.1613,0.2,0.2273,0.0,0.2,0.8492,0.2777,0.7166,0.0,"1,2,3,4,5",0.0,1.0,0.5,0.0,1.0,0.5175,0.5,0.4,0.6567,0.5441,0.7419,0.0,
