date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_2-a,part_2-b,part_2-c,part_2-d,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_4-b
2026-08-20,8060,キヤノンマーケティングジャパン,卸売業,63.24,0.4,除外,0.9174,0.4015,0.7309,0.5651,0.5472,0.5845,0.6344,0.3871,0.0,0.8331,0.4743,0.8829,0.7333,0.7273,0.8421,0.2,0.7552,0.1615,0.694,0.5781,"2,4,5",1.0,1.0,0.5,1.0,1.0,0.839,1.0,1.0,0.4909
2026-08-20,8061,西華産業,卸売業,51.87,0.2,除外,0.9452,0.514,0.4274,0.2545,0.4522,0.7766,0.8925,0.3871,0.0,0.3198,0.3263,0.5303,0.5333,0.7273,0.0,0.2,0.9036,0.5442,0.0,0.3612,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,0.5613,1.0,1.0,0.0909
2026-08-20,8074,ユアサ商事,卸売業,57.59,0.4,除外,0.8829,0.5245,0.4718,0.3764,0.624,0.481,0.5054,0.3871,0.7245,0.3177,0.3742,0.462,0.7333,0.2273,0.8421,0.2,1.0,0.2425,0.3626,0.8911,"2,3,4",1.0,1.0,0.5,1.0,0.8743,0.6885,1.0,1.0,0.2364
2026-08-20,8075,神鋼商事,卸売業,55.14,0.2,除外,1.0,0.5888,0.3559,,0.261,0.4736,0.4946,0.3871,1.0,0.0,0.8237,0.0,0.6,,0.8,0.2,0.783,,0.0,0.0,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4182
2026-08-20,8078,阪和興業,卸売業,62.59,0.6,監視,0.9865,0.4747,0.6954,0.3559,0.6172,0.7051,0.8065,0.3871,0.0,0.778,0.5402,0.6633,0.8,0.8182,0.1053,0.5,0.6941,0.4556,0.3189,1.0,"2,4",1.0,1.0,1.0,1.0,1.0,0.8922,1.0,1.0,0.0
2026-08-20,8079,正栄食品工業,卸売業,58.83,0.2,除外,0.8873,0.4816,0.5848,,0.3996,0.3135,0.2258,0.3871,1.0,1.0,0.3667,0.3057,0.6667,,0.0,0.2,0.2902,,0.4484,0.4602,"2,3,4,5",1.0,0.7754,1.0,1.0,0.4579,0.8648,1.0,1.0,0.4
2026-08-20,8084,ＲＹＯＤＥＮ,卸売業,58.07,0.4,除外,1.0,0.6674,0.4137,,0.2418,0.6158,0.6667,0.3871,1.0,0.0,0.6354,0.6193,0.4,,0.6316,0.5,0.0268,,0.0,0.6985,"3,4,5",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2026-08-20,8086,ニプロ,精密機器,51.18,0.4,除外,0.7533,0.381,0.3182,0.419,0.6874,0.4594,0.1935,0.871,0.0,0.2502,0.3707,0.0518,0.6,0.8636,0.1579,0.2,0.659,0.4444,0.6461,1.0,"2,3,4",1.0,0.8576,1.0,0.0,0.5221,0.6468,1.0,1.0,0.4545
2026-08-20,8088,岩谷産業,卸売業,54.91,0.2,除外,1.0,0.5363,0.3268,,0.3333,0.5689,0.6129,0.3871,0.5762,0.2074,0.4333,0.0,0.6667,,0.9474,0.2,1.0,,0.0,0.0,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0526
2026-08-20,8097,三愛オブリ,卸売業,64.46,0.4,除外,0.8406,0.5779,0.4866,0.5011,0.8166,0.4512,0.4731,0.3871,1.0,0.3231,0.4492,0.4408,0.7333,0.2273,0.95,0.5,1.0,0.4714,0.7948,1.0,"2,3,4",1.0,1.0,0.5,1.0,0.5677,0.6571,1.0,1.0,0.3273
2026-08-20,8098,稲畑産業,卸売業,60.67,0.2,除外,0.9027,0.4985,0.5098,0.5685,0.5537,0.4847,0.5161,0.3871,0.6061,0.3838,0.618,0.5707,0.4667,0.2273,0.2105,1.0,1.0,0.1165,0.4299,0.6686,"2,3,4,5",1.0,1.0,0.5,1.0,0.8735,0.8485,1.0,1.0,0.8364
2026-08-20,8103,明和産業,卸売業,57.6,0.2,除外,0.9547,0.4628,0.4804,0.4036,0.5786,0.5436,0.5591,0.3871,0.3615,0.5102,0.3797,0.2316,0.8,0.0,0.1053,1.0,1.0,0.1033,0.211,1.0,"2,3,4,5",1.0,0.8882,1.0,1.0,1.0,0.749,1.0,1.0,0.5091
2026-08-20,8111,ゴールドウイン,繊維製品,10.97,0.0,除外,0.0,0.0,0.1599,,0.2789,,,,,0.1714,0.0014,0.0,0.4667,0.0,0.2105,0.5,0.7808,0.1711,0.0,0.1635,"1,2,3,4,5",,,,,,,,,
2026-08-20,8113,ユニ・チャーム,化学,40.52,0.2,除外,0.8349,0.0,0.4898,0.4636,0.238,,,,,0.4488,0.3034,0.5402,0.6667,0.2273,0.8,0.5,0.5901,0.1421,0.2196,0.0,"2,3,4,5",1.0,0.6678,1.0,1.0,0.4038,0.6073,1.0,1.0,0.3273
2026-08-20,8117,中央自動車工業,卸売業,51.69,0.2,除外,0.9611,0.4815,0.2039,0.4029,0.535,0.4401,0.4516,0.3871,0.6472,0.0,0.2601,0.0221,0.5333,0.2273,0.2105,0.2,0.6399,0.1243,0.3758,1.0,"2,3,4,5",1.0,1.0,1.0,1.0,0.8889,0.8,1.0,1.0,0.9737
2026-08-20,8125,ワキタ,卸売業,58.99,0.2,除外,0.8137,0.4911,0.5392,0.5631,0.5425,0.3299,0.2473,0.3871,1.0,0.3579,0.4479,0.9511,0.4,0.1364,0.825,1.0,0.6275,0.2265,0.8819,0.4344,"2,3,4,5",1.0,0.7435,0.5,1.0,0.6355,0.6306,1.0,1.0,0.2909
